"STUDENT_ID","SECTION_ID","GRADE_TYPE_CODE","GRADE_CODE_OCCURRENCE","NUMERIC_GRADE","COMMENTS","CREATED_BY","CREATED_DATE","MODIFIED_BY","MODIFIED_DATE"
111,133,"PA",6,80,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
111,133,"PA",7,70,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
111,133,"PA",8,70,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
111,133,"PA",9,80,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
111,133,"PA",10,90,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
111,133,"PA",11,85,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
111,133,"PA",12,75,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
111,133,"PJ",1,90,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
111,142,"FI",1,85,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
111,142,"HM",1,90,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
111,142,"HM",2,99,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
111,142,"HM",3,82,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
111,142,"HM",4,82,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
111,142,"MT",1,90,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
111,142,"PA",1,85,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
111,142,"QZ",1,90,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
111,142,"QZ",2,84,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
111,142,"QZ",3,97,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
111,142,"QZ",4,97,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
112,95,"FI",1,84,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
112,95,"HM",1,83,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
112,95,"HM",2,83,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
112,95,"HM",3,83,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
112,95,"HM",4,73,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
112,95,"MT",1,77,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
112,95,"PA",1,90,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
112,95,"QZ",1,91,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
112,95,"QZ",2,90,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
112,154,"FI",1,76,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
112,154,"HM",1,76,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
112,154,"HM",2,90,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
112,154,"HM",3,83,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
112,154,"HM",4,73,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
112,154,"HM",5,96,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
112,154,"HM",6,96,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
112,154,"HM",7,96,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
112,154,"HM",8,86,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
112,154,"HM",9,86,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
112,154,"HM",10,86,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
112,154,"MT",1,91,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
113,128,"FI",1,76,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
113,128,"HM",1,76,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
113,128,"HM",2,90,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
113,128,"HM",3,83,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
113,128,"HM",4,73,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
113,128,"HM",5,96,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
113,128,"HM",6,96,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
113,128,"HM",7,96,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
113,128,"HM",8,86,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
113,128,"HM",9,86,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
113,128,"HM",10,86,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
113,128,"MT",1,91,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
113,156,"FI",1,83,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
113,156,"MT",1,92,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
114,128,"FI",1,77,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
114,128,"HM",1,77,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
114,128,"HM",2,91,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
114,128,"HM",3,74,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
114,128,"HM",4,74,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
114,128,"HM",5,97,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
114,128,"HM",6,97,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
114,128,"HM",7,87,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
114,128,"HM",8,87,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
114,128,"HM",9,87,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
114,128,"HM",10,77,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
114,128,"MT",1,92,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
114,156,"FI",1,84,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
114,156,"MT",1,83,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
117,94,"FI",1,84,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
117,94,"HM",1,99,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
117,94,"HM",2,98,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
117,94,"HM",3,81,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
117,94,"HM",4,81,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
117,94,"MT",1,99,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
117,94,"PA",1,84,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
117,94,"QZ",1,99,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
117,94,"QZ",2,83,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
117,94,"QZ",3,86,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
117,94,"QZ",4,96,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
117,130,"FI",1,92,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
117,130,"HM",1,91,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
117,130,"HM",2,91,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
117,130,"HM",3,81,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
117,130,"HM",4,81,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
117,130,"MT",1,85,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
117,130,"PA",1,88,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
117,130,"QZ",1,99,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
117,130,"QZ",2,98,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
118,90,"FI",1,91,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
118,90,"MT",1,90,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
119,103,"FI",1,76,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
119,103,"HM",1,85,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
119,103,"HM",2,75,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
119,103,"HM",3,75,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
119,103,"HM",4,85,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
119,103,"MT",1,99,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
119,103,"PA",1,92,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
119,103,"QZ",1,83,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
119,103,"QZ",2,82,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
120,103,"FI",1,77,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
120,103,"HM",1,76,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
120,103,"HM",2,76,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
120,103,"HM",3,86,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
120,103,"HM",4,96,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
120,103,"MT",1,90,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
120,103,"PA",1,83,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
120,103,"QZ",1,84,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
120,103,"QZ",2,83,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
121,87,"FI",1,77,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
121,87,"HM",1,77,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
121,87,"HM",2,91,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
121,87,"HM",3,74,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
121,87,"HM",4,74,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
121,87,"HM",5,97,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
121,87,"HM",6,97,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
121,87,"HM",7,87,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
121,87,"HM",8,87,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
121,87,"HM",9,87,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
121,87,"HM",10,77,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
121,87,"MT",1,92,"","CBRENNAN",11-FEB-07,"JAYCAF",11-FEB-07
